Rickshaw Carry,Forearms,Other
Single-Leg Press,Quadriceps,Machine
Landmine twist,Abdominals,Other
Weighted pull-up,Lats,Other
T-Bar Row with Handle,Middle Back,Other
Palms-down wrist curl over bench,Forearms,Barbell
Atlas Stones,Lower Back,Other
Dumbbell front raise to lateral raise,Shoulders,Dumbbell
Clean from Blocks,Quadriceps,Barbell
Incline Hammer Curls,Biceps,Dumbbell
Straight-bar wrist roll-up,Forearms,
Barbell glute bridge,Glutes,Barbell
Clean and press,Shoulders,Barbell
Triceps dip,Triceps,Body Only
Dumbbell farmer's walk,Forearms,Other
Palms-up wrist curl over bench,Forearms,Barbell
Barbell Full Squat,Quadriceps,Barbell
Barbell deficit deadlift,Lower Back,Barbell
Barbell Deadlift,Hamstrings,Barbell
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell
Tire flip,Quadriceps,Other
Clean Deadlift,Hamstrings,Barbell
Elbow plank,Abdominals,Body Only
Bottoms Up,Abdominals,Body Only
Barbell back squat to box,Quadriceps,Barbell
Clean and jerk,Shoulders,Barbell
Single-arm kettlebell push-press,Shoulders,Kettlebells
Push-press,Quadriceps,Barbell
Suspended ab fall-out,Abdominals,Other
Military press,Shoulders,Barbell
Power snatch-,Quadriceps,Barbell
Sumo deadlift,Hamstrings,Barbell
Hang Clean,Quadriceps,Barbell
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell
Reverse Band Box Squat,Quadriceps,
Standing palms-in shoulder press,Shoulders,Dumbbell
Standing cable low-to-high twist,Abdominals,Cable
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar
Standing behind-the-back wrist curl,Forearms,Barbell
Seated finger curl,Forearms,Barbell
Wide-grip barbell curl,Biceps,Barbell
Dumbbell spell caster,Abdominals,Dumbbell
Dumbbell floor press,Triceps,Dumbbell
Lying Face Down Plate Neck Resistance,Neck,Other
Pullups,Lats,Body Only
Decline reverse crunch,Abdominals,Other
Dumbbell Bench Press,Chest,Dumbbell
Jumping rope,Quadriceps,Body Only
Seated barbell shoulder press,Shoulders,Barbell
EZ-bar spider curl,Biceps,Barbell
Smith machine shrug,Traps,Machine
Smith Machine Calf Raise,Calves,Machine
Romanian Deadlift from Deficit,Hamstrings,Barbell
Power Snatch,Hamstrings,Barbell
Pushups,Chest,Body Only
Barbell walking lunge,Quadriceps,Barbell
Front Squats With Two Kettlebells,Quadriceps,Kettlebells
Spider crawl,Abdominals,Body Only
Power Clean from Blocks,Hamstrings,Barbell
Single Leg Push-off,Quadriceps,Other
Hip Circles (Prone),Abductors,
Reverse-grip bent-over row,Middle Back,Barbell
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable
Back extension,Lower Back,Body Only
Close-grip bench press,Chest,Barbell
Cocoons,Abdominals,Body Only
Cross-Body Crunch,Abdominals,Body Only
Dumbbell Flyes,Chest,Dumbbell
Hammer Curls,Biceps,Dumbbell
Incline dumbbell bench press,Chest,Dumbbell
Low-cable cross-over,Chest,Cable
Single-arm high-cable side bend,Abdominals,Cable
Seated Dumbbell Press,Shoulders,Dumbbell
Standing dumbbell shoulder press,Shoulders,Dumbbell
EZ-Bar Curl,Biceps,E-Z Curl Bar
Olympic Squat,Quadriceps,Barbell
Natural Glute Ham Raise,Hamstrings,Body Only
Axle Deadlift,Lower Back,Other
Zottman Curl,Biceps,
Glute ham raise-,Hamstrings,None
Single-arm lateral raise,Shoulders,Dumbbell
Power Partials,Shoulders,Dumbbell
Leverage Shrug,Traps,Machine
Cable V-bar push-down,Triceps,Cable
Wrist Roller,Forearms,Other
Incline dumbbell reverse fly,Shoulders,Dumbbell
Stair climber,Quadriceps,Machine
Elbow-to-knee crunch,Abdominals,Body Only
Kettlebell Pistol Squat,Quadriceps,Kettlebells
Overhead dumbbell front raise,Shoulders,Dumbbell
Biceps curl to shoulder press,Biceps,Dumbbell
Weighted bench dip,Triceps,Body Only
Barbell Hip Thrust,Glutes,Barbell
Forward lunge,Quadriceps,Body Only
Barbell Bench Press - Medium Grip,Chest,Barbell
Chest dip,Chest,Other
Seated dumbbell shoulder press,Shoulders,Dumbbell
Barbell Curl,Biceps,Barbell
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar
One-Arm Dumbbell Row,Middle Back,Dumbbell
Alternating standing shoulder press,Shoulders,Dumbbell
Concentration curl,Biceps,Dumbbell
Decline Crunch,Abdominals,Body Only
Decline Dumbbell Flyes,Chest,Dumbbell
Single-arm incline rear delt raise,Shoulders,Dumbbell
Alternating dumbbell front raise,Shoulders,Dumbbell
Hanging toes-to-bar,Abdominals,Body Only
Narrow-stance squat,Quadriceps,Barbell
Kneeling cable oblique crunch,Abdominals,Cable
Reverse Grip Triceps Pushdown,Triceps,Cable
Bear crawl sled drag,Quadriceps,Other
Rocky Pull-Ups/Pulldowns,Lats,Other
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell
Box Squat with Bands,Quadriceps,Barbell
Flexor Incline Dumbbell Curls,Biceps,Dumbbell
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell
Thigh adductor,Adductors,Machine
Machine Bicep Curl,Biceps,Machine
Seated Palms-Down Barbell Wrist Curl,Forearms,
Car driver,Shoulders,Other
Alternating Deltoid Raise,Shoulders,Dumbbell
Hanging Oblique Knee Raise,Abdominals,Body Only
Bodyweight Flyes,Chest,E-Z Curl Bar
Standing Calf Raises,Calves,Machine
Push-Ups - Close Triceps Position,Triceps,Body Only
One-Arm Long Bar Row,Middle Back,Barbell
Overhead cable curl,Biceps,Cable
Single-dumbbell front raise,Shoulders,Dumbbell
Incline cable chest fly,Chest,Cable
Single-leg depth squat,Quadriceps,Bands
Dumbbell suitcase crunch,Abdominals,Medicine Ball
Plate Twist,Abdominals,Other
Single-leg cable hip extension,Glutes,Cable
Weighted Jump Squat,Quadriceps,Barbell
Squat with Chains,Quadriceps,Barbell
Gorilla Chin/Crunch,Abdominals,Body Only
Kneeling cable triceps extension,Triceps,Cable
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,Cables
Bicycling,Quadriceps,Other
Arnold press,Shoulders,Dumbbell
Weighted Crunches,Abdominals,Other
Single-arm cable triceps extension,Triceps,Cable
Barbell roll-out,Abdominals,Barbell
Kneeling cable crunch,Abdominals,Cable
Exercise Ball Pull-In,Abdominals,Exercise Ball
Hanging leg raise,Abdominals,Body Only
Barbell Ab Rollout - On Knees,Abdominals,Barbell
Barbell Squat,Quadriceps,Barbell
Decline barbell bench press,Chest,Barbell
Dumbbell Bicep Curl,Biceps,Dumbbell
Dumbbell Goblet Squat,Quadriceps,Dumbbell
Dumbbell squat,Quadriceps,Dumbbell
Barbell front squat,Quadriceps,Barbell
Close-grip pull-down,Lats,Cable
Triceps Pushdown - Rope Attachment,Triceps,Cables
Side-to-side box skip,Quadriceps,Body Only
Smith machine shoulder press,Shoulders,Machine
Seated triceps press,Triceps,Dumbbell
Dumbbell Lying Supination,Forearms,
Pull-up,Lats,Body Only
Wide-grip bench press,Chest,Barbell
Close-grip EZ-bar curl,Biceps,Barbell
T-Bar Row,Middle Back,Other
Bent Over Two-Arm Long Bar Row,Middle Back,Barbell
Muscle Up,Lats,Body Only
Machine shoulder press,Shoulders,Machine
Incline EZ-bar skullcrusher,Triceps,Barbell
Alternating sit-through with crunch,Middle Back,Other
Wide-Grip Decline Barbell Bench Press,Chest,Barbell
Rower,Middle Back,Machine
Snatch Deadlift,Hamstrings,Barbell
Front Plate Raise,Shoulders,Other
Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell
Lying Leg Curls,Hamstrings,Machine
Cross-body hammer curl,Biceps,Dumbbell
Shotgun row,Lats,Cable
Ab Roller,Abdominals,Other
Reverse-grip incline dumbbell bench press,Chest,Dumbbell
Leg Press,Quadriceps,Machine
Stiff-Legged Dumbbell Deadlift,Hamstrings,Dumbbell
Cable Crossover,Chest,Cable
Barbell Incline Bench Press Medium-Grip,Chest,Barbell
Incline Dumbbell Flyes,Chest,Dumbbell
Seated Cable Rows,Middle Back,Cable
Tricep Dumbbell Kickback,Triceps,Dumbbell
Otis-Up,Abdominals,Other
Mountain climber,Abdominals,Body Only
Ab bicycle,Abdominals,Body Only
Barbell forward lunge,Quadriceps,Barbell
3/4 sit-up,Abdominals,Body Only
Exercise ball leg curl,Hamstrings,Exercise Ball
Glute bridge,Glutes,Body Only
Close-Grip Front Lat Pulldown,Lats,Cable
Dip Machine,Triceps,Cable
